11000000000000000000100000000000	256	ADD R1, R0, R0
11100000000000100000000000000011	260	ADDI R2, R0, #3
01001000001000100000000000010001	264	BEQ R1, R2, #68
01100000000000011000000010000000	268	SLL R16, R1, #2
01011110000000110000000101010100	272	LW R3, 340(R16)
01011110000001000000000101101000	276	LW R4, 360(R16)
01011110000001010000000101111100	280	LW R5, 380(R16)
11001000011001000010100000000000	284	MUL R5, R3, R4
01001000101000000000000000000111	288	BEQ R5, R0, #28
01010000101000000000000000000100	292	BGTZ R5, #16
11000000011001000011000000000000	296	ADD R6, R3, R4
11000100110001010010100000000000	300	SUB R5, R6, R5
01000000000000000000000001010001	304	J #324
01001100101000000000000000000001	308	BLTZ R5, #4
01100000000001010010100010000000	312	SLL R5, R5, #2
01000000000000000000000001010001	316	J #324
11100000101001010000000000001100	320	ADDI R5, R5, #12
01011010000001010000000101111100	324	SW R5, 380(R16)
11100000001000010000000000000001	328	ADDI R1, R1, #1
01000000000000000000000001000010	332	J #264
01010100000000000000000000001101	336	BREAK
11111111111111111111111111111111	340	-1
11111111111111111111111111111110	344	-2
11111111111111111111111111111101	348	-3
00000000000000000000000000000001	352	1
00000000000000000000000000000010	356	2
00000000000000000000000000000100	360	4
11111111111111111111111111111100	364	-4
00000000000000000000000000001010	368	10
00000000000000000000000000000111	372	7
00000000000000000000000000001001	376	9
00000000000000000000000000000001	380	1
00000000000000000000000000000000	384	0
11111111111111111111111111111111	388	-1
00000000000000000000000000000001	392	1
11111111111111111111111111111111	396	-1
00000000000000000000000000000000	400	0
00000000000000000000000000000000	404	0
00000000000000000000000000000000	408	0
00000000000000000000000000000000	412	0
00000000000000000000000000000000	416	0
00000000000000000000000000000000	420	0
00000000000000000000000000000000	424	0
00000000000000000000000000000000	428	0
00000000000000000000000000000000	432	0
